transaction_id,investor_id,amfi_code,date,transaction_type,amount_rupees,amount_crore,state,age_group,age,city,city_tier,net_amount_crore,data_status
TX004205,INV002609,120586,2022-01-02,Redemption,58497.630000,0.005850,Karnataka,26-35,31,Other City,Tier 3,-0.005850,Deterministic illustrative investor transaction
TX021331,INV002401,118955,2022-01-02,Lumpsum,60435.260000,0.006044,Karnataka,26-35,26,Bengaluru,Tier 1,0.006044,Deterministic illustrative investor transaction
TX021352,INV000197,118424,2022-01-02,SIP,5468.940000,0.000547,Rajasthan,26-35,30,Other City,Tier 3,0.000547,Deterministic illustrative investor transaction
TX009884,INV004587,118424,2022-01-02,Lumpsum,167509.420000,0.016751,Gujarat,36-45,43,Ahmedabad,Tier 2,0.016751,Deterministic illustrative investor transaction
TX006818,INV000489,120586,2022-01-02,Redemption,31611.680000,0.003161,Telangana,26-35,29,Hyderabad,Tier 1,-0.003161,Deterministic illustrative investor transaction
TX000533,INV005593,119076,2022-01-02,SIP,4847.630000,0.000485,Kerala,56+,70,Kochi,Tier 2,0.000485,Deterministic illustrative investor transaction
TX011001,INV003361,118632,2022-01-02,SIP,9393.720000,0.000939,Madhya Pradesh,36-45,37,Indore,Tier 2,0.000939,Deterministic illustrative investor transaction
TX022568,INV000580,119076,2022-01-02,SIP,5044.040000,0.000504,Uttar Pradesh,26-35,26,Other City,Tier 3,0.000504,Deterministic illustrative investor transaction
TX020666,INV004834,120564,2022-01-02,Lumpsum,104487.100000,0.010449,Uttar Pradesh,46-55,50,Lucknow,Tier 2,0.010449,Deterministic illustrative investor transaction
TX001138,INV007918,140353,2022-01-02,SIP,10260.070000,0.001026,Kerala,26-35,27,Kochi,Tier 2,0.001026,Deterministic illustrative investor transaction
TX011844,INV005887,120046,2022-01-02,SIP,2777.390000,0.000278,Maharashtra,26-35,34,Mumbai,Tier 1,0.000278,Deterministic illustrative investor transaction
TX000424,INV000872,120166,2022-01-02,SIP,10459.050000,0.001046,Punjab,56+,62,Ludhiana,Tier 2,0.001046,Deterministic illustrative investor transaction
TX020988,INV007849,120843,2022-01-02,SIP,13623.250000,0.001362,Uttar Pradesh,56+,63,Lucknow,Tier 2,0.001362,Deterministic illustrative investor transaction
TX007696,INV001208,120392,2022-01-03,Redemption,66604.750000,0.006660,West Bengal,26-35,35,Kolkata,Tier 1,-0.006660,Deterministic illustrative investor transaction
TX009032,INV004472,141925,2022-01-03,SIP,8484.190000,0.000848,Rajasthan,36-45,45,Jaipur,Tier 2,0.000848,Deterministic illustrative investor transaction
TX015809,INV009209,133839,2022-01-03,Lumpsum,95816.210000,0.009582,Maharashtra,26-35,35,Mumbai,Tier 1,0.009582,Deterministic illustrative investor transaction
TX007286,INV001234,119250,2022-01-03,SIP,9571.180000,0.000957,Maharashtra,56+,56,Mumbai,Tier 1,0.000957,Deterministic illustrative investor transaction
TX022942,INV004863,120392,2022-01-03,SIP,5906.810000,0.000591,Telangana,26-35,26,Hyderabad,Tier 1,0.000591,Deterministic illustrative investor transaction
TX003000,INV007031,120656,2022-01-03,SIP,18345.680000,0.001835,Kerala,46-55,46,Kochi,Tier 2,0.001835,Deterministic illustrative investor transaction
TX014427,INV009200,129046,2022-01-03,SIP,8491.880000,0.000849,Telangana,46-55,47,Hyderabad,Tier 1,0.000849,Deterministic illustrative investor transaction
TX005860,INV009058,120586,2022-01-03,Lumpsum,44484.720000,0.004448,Delhi,36-45,41,New Delhi,Tier 1,0.004448,Deterministic illustrative investor transaction
TX023007,INV006167,120152,2022-01-03,SIP,3570.030000,0.000357,Gujarat,26-35,28,Ahmedabad,Tier 2,0.000357,Deterministic illustrative investor transaction
TX001127,INV002426,118632,2022-01-04,SIP,13776.280000,0.001378,Gujarat,56+,72,Ahmedabad,Tier 2,0.001378,Deterministic illustrative investor transaction
TX008576,INV001250,120662,2022-01-04,SIP,12168.790000,0.001217,West Bengal,36-45,37,Kolkata,Tier 1,0.001217,Deterministic illustrative investor transaction
TX001550,INV007976,120046,2022-01-04,SIP,5834.360000,0.000583,Delhi,18-25,25,New Delhi,Tier 1,0.000583,Deterministic illustrative investor transaction
TX001483,INV002835,120586,2022-01-04,SIP,2168.090000,0.000217,Uttar Pradesh,26-35,35,Other City,Tier 3,0.000217,Deterministic illustrative investor transaction
TX023514,INV008621,118955,2022-01-04,Lumpsum,177435.000000,0.017743,Rajasthan,46-55,46,Jaipur,Tier 2,0.017743,Deterministic illustrative investor transaction
TX013320,INV008270,120264,2022-01-04,SIP,2983.540000,0.000298,Maharashtra,26-35,27,Mumbai,Tier 1,0.000298,Deterministic illustrative investor transaction
TX004471,INV004370,129046,2022-01-04,Lumpsum,49871.670000,0.004987,Gujarat,18-25,19,Ahmedabad,Tier 2,0.004987,Deterministic illustrative investor transaction
TX001756,INV005291,118632,2022-01-04,SIP,4167.130000,0.000417,Punjab,26-35,27,Ludhiana,Tier 2,0.000417,Deterministic illustrative investor transaction
TX000218,INV004916,120656,2022-01-04,SIP,10870.210000,0.001087,Maharashtra,26-35,30,Mumbai,Tier 1,0.001087,Deterministic illustrative investor transaction
TX022546,INV006217,118535,2022-01-04,SIP,6538.840000,0.000654,Karnataka,46-55,49,Bengaluru,Tier 1,0.000654,Deterministic illustrative investor transaction
TX017864,INV001563,120564,2022-01-04,Lumpsum,86718.050000,0.008672,Uttar Pradesh,26-35,35,Lucknow,Tier 2,0.008672,Deterministic illustrative investor transaction
TX005415,INV006178,118531,2022-01-04,Redemption,85182.450000,0.008518,Kerala,18-25,23,Kochi,Tier 2,-0.008518,Deterministic illustrative investor transaction
TX001700,INV000742,120492,2022-01-04,SIP,3898.540000,0.000390,Tamil Nadu,18-25,22,Chennai,Tier 1,0.000390,Deterministic illustrative investor transaction
TX015559,INV001188,141925,2022-01-04,Lumpsum,149249.550000,0.014925,Punjab,46-55,55,Ludhiana,Tier 2,0.014925,Deterministic illustrative investor transaction
TX015597,INV003016,118955,2022-01-04,SIP,8014.080000,0.000801,Telangana,26-35,35,Hyderabad,Tier 1,0.000801,Deterministic illustrative investor transaction
TX002249,INV006279,140353,2022-01-04,SIP,9637.700000,0.000964,Maharashtra,26-35,34,Other City,Tier 3,0.000964,Deterministic illustrative investor transaction
TX004967,INV001335,120843,2022-01-05,SIP,6544.910000,0.000654,Maharashtra,46-55,49,Mumbai,Tier 1,0.000654,Deterministic illustrative investor transaction
TX019707,INV009371,120492,2022-01-05,Lumpsum,98200.010000,0.009820,Rajasthan,36-45,36,Jaipur,Tier 2,0.009820,Deterministic illustrative investor transaction
TX001254,INV002192,120152,2022-01-05,SIP,6523.470000,0.000652,Telangana,18-25,21,Hyderabad,Tier 1,0.000652,Deterministic illustrative investor transaction
TX000642,INV005631,119292,2022-01-05,SIP,2620.740000,0.000262,Maharashtra,46-55,51,Mumbai,Tier 1,0.000262,Deterministic illustrative investor transaction
TX023747,INV003616,118955,2022-01-05,Redemption,121280.210000,0.012128,Telangana,36-45,45,Hyderabad,Tier 1,-0.012128,Deterministic illustrative investor transaction
TX011357,INV002396,118269,2022-01-05,SIP,4759.870000,0.000476,Telangana,46-55,52,Hyderabad,Tier 1,0.000476,Deterministic illustrative investor transaction
TX014894,INV002897,144546,2022-01-05,SIP,5898.480000,0.000590,Delhi,36-45,41,New Delhi,Tier 1,0.000590,Deterministic illustrative investor transaction
TX021998,INV006473,120392,2022-01-05,Lumpsum,151691.790000,0.015169,Punjab,26-35,27,Ludhiana,Tier 2,0.015169,Deterministic illustrative investor transaction
TX008327,INV001637,122639,2022-01-05,Lumpsum,66489.230000,0.006649,Kerala,36-45,44,Other City,Tier 3,0.006649,Deterministic illustrative investor transaction
TX001776,INV000153,118632,2022-01-05,Lumpsum,23743.550000,0.002374,Maharashtra,36-45,40,Mumbai,Tier 1,0.002374,Deterministic illustrative investor transaction
TX012429,INV007161,133839,2022-01-05,SIP,4366.020000,0.000437,Gujarat,36-45,44,Ahmedabad,Tier 2,0.000437,Deterministic illustrative investor transaction
TX008307,INV007578,118632,2022-01-05,SIP,13294.260000,0.001329,Telangana,46-55,52,Hyderabad,Tier 1,0.001329,Deterministic illustrative investor transaction
TX022941,INV008370,148404,2022-01-05,SIP,8701.970000,0.000870,Uttar Pradesh,46-55,52,Lucknow,Tier 2,0.000870,Deterministic illustrative investor transaction
TX006480,INV004951,119250,2022-01-05,SIP,4486.670000,0.000449,Madhya Pradesh,36-45,40,Indore,Tier 2,0.000449,Deterministic illustrative investor transaction
TX003012,INV008579,119598,2022-01-05,Redemption,96841.100000,0.009684,Maharashtra,46-55,48,Other City,Tier 3,-0.009684,Deterministic illustrative investor transaction
TX020653,INV000756,118955,2022-01-05,SIP,13568.700000,0.001357,Delhi,26-35,27,New Delhi,Tier 1,0.001357,Deterministic illustrative investor transaction
TX000945,INV009357,120267,2022-01-05,SIP,10287.430000,0.001029,Gujarat,26-35,27,Ahmedabad,Tier 2,0.001029,Deterministic illustrative investor transaction
TX014368,INV004491,129046,2022-01-05,Redemption,88636.640000,0.008864,Delhi,46-55,49,New Delhi,Tier 1,-0.008864,Deterministic illustrative investor transaction
TX017670,INV000192,120152,2022-01-05,SIP,4982.830000,0.000498,Karnataka,56+,56,Other City,Tier 3,0.000498,Deterministic illustrative investor transaction
TX003588,INV000900,120564,2022-01-05,SIP,25414.210000,0.002541,Uttar Pradesh,46-55,48,Lucknow,Tier 2,0.002541,Deterministic illustrative investor transaction
TX017696,INV004011,118531,2022-01-05,Lumpsum,151449.030000,0.015145,Delhi,46-55,49,New Delhi,Tier 1,0.015145,Deterministic illustrative investor transaction
TX001922,INV005025,118531,2022-01-05,SIP,4564.770000,0.000456,Karnataka,46-55,46,Bengaluru,Tier 1,0.000456,Deterministic illustrative investor transaction
TX000579,INV004029,129046,2022-01-05,SIP,1966.760000,0.000197,Karnataka,36-45,41,Bengaluru,Tier 1,0.000197,Deterministic illustrative investor transaction
TX001437,INV009346,120843,2022-01-05,Lumpsum,161373.380000,0.016137,Tamil Nadu,56+,62,Chennai,Tier 1,0.016137,Deterministic illustrative investor transaction
TX005178,INV001332,133839,2022-01-05,SIP,6402.190000,0.000640,Punjab,26-35,29,Ludhiana,Tier 2,0.000640,Deterministic illustrative investor transaction
TX005411,INV005852,129046,2022-01-06,Lumpsum,57344.530000,0.005734,Karnataka,46-55,52,Bengaluru,Tier 1,0.005734,Deterministic illustrative investor transaction
TX014085,INV004843,120564,2022-01-06,SIP,14621.930000,0.001462,Uttar Pradesh,36-45,40,Lucknow,Tier 2,0.001462,Deterministic illustrative investor transaction
TX002329,INV005625,120564,2022-01-06,Lumpsum,187153.140000,0.018715,Telangana,46-55,53,Hyderabad,Tier 1,0.018715,Deterministic illustrative investor transaction
TX009928,INV009169,119292,2022-01-06,SIP,8262.490000,0.000826,Maharashtra,36-45,37,Mumbai,Tier 1,0.000826,Deterministic illustrative investor transaction
TX018214,INV002516,122639,2022-01-06,Redemption,51684.650000,0.005168,Uttar Pradesh,26-35,34,Lucknow,Tier 2,-0.005168,Deterministic illustrative investor transaction
TX005952,INV009485,148404,2022-01-06,Lumpsum,123887.060000,0.012389,Uttar Pradesh,26-35,27,Lucknow,Tier 2,0.012389,Deterministic illustrative investor transaction
TX012007,INV004314,140353,2022-01-06,SIP,7760.720000,0.000776,Tamil Nadu,26-35,28,Chennai,Tier 1,0.000776,Deterministic illustrative investor transaction
TX009336,INV007494,118632,2022-01-06,SIP,5869.970000,0.000587,Gujarat,26-35,30,Ahmedabad,Tier 2,0.000587,Deterministic illustrative investor transaction
TX016244,INV002595,120152,2022-01-06,SIP,2030.000000,0.000203,Uttar Pradesh,26-35,30,Lucknow,Tier 2,0.000203,Deterministic illustrative investor transaction
TX016304,INV005581,118632,2022-01-06,SIP,6356.990000,0.000636,Maharashtra,18-25,22,Mumbai,Tier 1,0.000636,Deterministic illustrative investor transaction
TX021456,INV006785,120392,2022-01-06,Lumpsum,123069.320000,0.012307,West Bengal,26-35,34,Kolkata,Tier 1,0.012307,Deterministic illustrative investor transaction
TX001070,INV003764,120046,2022-01-06,SIP,4150.620000,0.000415,Karnataka,36-45,40,Bengaluru,Tier 1,0.000415,Deterministic illustrative investor transaction
TX020685,INV001485,129046,2022-01-06,SIP,9663.510000,0.000966,Uttar Pradesh,56+,56,Lucknow,Tier 2,0.000966,Deterministic illustrative investor transaction
TX002488,INV003112,141925,2022-01-07,Lumpsum,151786.760000,0.015179,Maharashtra,26-35,29,Mumbai,Tier 1,0.015179,Deterministic illustrative investor transaction
TX000326,INV003272,118955,2022-01-07,SIP,2950.950000,0.000295,Punjab,26-35,33,Ludhiana,Tier 2,0.000295,Deterministic illustrative investor transaction
TX012915,INV001147,120392,2022-01-07,SIP,14141.460000,0.001414,Maharashtra,46-55,53,Mumbai,Tier 1,0.001414,Deterministic illustrative investor transaction
TX000716,INV009321,141925,2022-01-07,SIP,972.140000,0.000097,Uttar Pradesh,36-45,37,Other City,Tier 3,0.000097,Deterministic illustrative investor transaction
TX012686,INV006096,148404,2022-01-07,Redemption,123065.330000,0.012307,Gujarat,26-35,27,Ahmedabad,Tier 2,-0.012307,Deterministic illustrative investor transaction
TX022792,INV004515,120267,2022-01-07,Lumpsum,88944.850000,0.008894,Maharashtra,56+,65,Mumbai,Tier 1,0.008894,Deterministic illustrative investor transaction
TX016365,INV007830,119160,2022-01-07,Lumpsum,90101.820000,0.009010,Karnataka,36-45,36,Bengaluru,Tier 1,0.009010,Deterministic illustrative investor transaction
TX004115,INV004429,122639,2022-01-07,SIP,17349.480000,0.001735,Rajasthan,36-45,43,Jaipur,Tier 2,0.001735,Deterministic illustrative investor transaction
TX009548,INV008254,118955,2022-01-07,Redemption,54680.240000,0.005468,Maharashtra,26-35,32,Mumbai,Tier 1,-0.005468,Deterministic illustrative investor transaction
TX022914,INV001209,118269,2022-01-07,SIP,8233.910000,0.000823,Delhi,36-45,42,New Delhi,Tier 1,0.000823,Deterministic illustrative investor transaction
TX022865,INV004686,120392,2022-01-07,Redemption,70353.850000,0.007035,Gujarat,26-35,34,Ahmedabad,Tier 2,-0.007035,Deterministic illustrative investor transaction
TX020396,INV006001,140353,2022-01-07,SIP,3108.150000,0.000311,Rajasthan,26-35,35,Jaipur,Tier 2,0.000311,Deterministic illustrative investor transaction
TX001969,INV009143,118632,2022-01-07,Lumpsum,52991.140000,0.005299,West Bengal,36-45,39,Kolkata,Tier 1,0.005299,Deterministic illustrative investor transaction
TX005619,INV005330,122639,2022-01-07,Redemption,95451.100000,0.009545,Maharashtra,56+,58,Mumbai,Tier 1,-0.009545,Deterministic illustrative investor transaction
TX015812,INV008825,118632,2022-01-07,Redemption,86332.010000,0.008633,Tamil Nadu,56+,57,Chennai,Tier 1,-0.008633,Deterministic illustrative investor transaction
TX008623,INV007352,119076,2022-01-07,SIP,13181.050000,0.001318,Tamil Nadu,18-25,20,Chennai,Tier 1,0.001318,Deterministic illustrative investor transaction
TX011141,INV006818,118955,2022-01-07,Lumpsum,18756.730000,0.001876,Uttar Pradesh,36-45,45,Lucknow,Tier 2,0.001876,Deterministic illustrative investor transaction
TX004187,INV001477,120264,2022-01-07,SIP,1462.380000,0.000146,Maharashtra,26-35,27,Mumbai,Tier 1,0.000146,Deterministic illustrative investor transaction
TX004202,INV001851,140353,2022-01-08,Lumpsum,44830.620000,0.004483,Gujarat,26-35,35,Ahmedabad,Tier 2,0.004483,Deterministic illustrative investor transaction
TX002305,INV008004,122639,2022-01-08,Lumpsum,72930.070000,0.007293,Delhi,46-55,46,New Delhi,Tier 1,0.007293,Deterministic illustrative investor transaction
TX023181,INV005766,120843,2022-01-08,Redemption,57001.940000,0.005700,Gujarat,26-35,35,Ahmedabad,Tier 2,-0.005700,Deterministic illustrative investor transaction
TX012656,INV004334,140353,2022-01-08,SIP,13180.890000,0.001318,Karnataka,56+,69,Bengaluru,Tier 1,0.001318,Deterministic illustrative investor transaction
TX004880,INV003208,118955,2022-01-08,Lumpsum,55147.800000,0.005515,Punjab,46-55,51,Other City,Tier 3,0.005515,Deterministic illustrative investor transaction
TX001398,INV004168,118632,2022-01-08,Redemption,69192.010000,0.006919,Gujarat,46-55,51,Ahmedabad,Tier 2,-0.006919,Deterministic illustrative investor transaction
TX017512,INV007457,120564,2022-01-08,Lumpsum,137245.100000,0.013725,Tamil Nadu,36-45,39,Chennai,Tier 1,0.013725,Deterministic illustrative investor transaction
TX016204,INV001117,140353,2022-01-08,Redemption,161575.290000,0.016158,Uttar Pradesh,46-55,50,Lucknow,Tier 2,-0.016158,Deterministic illustrative investor transaction
TX022371,INV000826,120152,2022-01-08,Lumpsum,68844.340000,0.006884,Tamil Nadu,18-25,18,Other City,Tier 3,0.006884,Deterministic illustrative investor transaction
TX011128,INV007877,120564,2022-01-08,Lumpsum,106612.000000,0.010661,Maharashtra,56+,58,Mumbai,Tier 1,0.010661,Deterministic illustrative investor transaction
TX006458,INV001508,118269,2022-01-08,Lumpsum,45469.020000,0.004547,Maharashtra,36-45,38,Mumbai,Tier 1,0.004547,Deterministic illustrative investor transaction
TX023282,INV001286,148404,2022-01-08,Redemption,44858.520000,0.004486,Karnataka,26-35,30,Bengaluru,Tier 1,-0.004486,Deterministic illustrative investor transaction
TX003670,INV008099,118531,2022-01-09,SIP,4172.860000,0.000417,Delhi,26-35,34,New Delhi,Tier 1,0.000417,Deterministic illustrative investor transaction
TX001587,INV007899,120046,2022-01-09,SIP,6404.710000,0.000640,Madhya Pradesh,46-55,49,Indore,Tier 2,0.000640,Deterministic illustrative investor transaction
TX005229,INV004160,120267,2022-01-09,SIP,4347.620000,0.000435,West Bengal,36-45,45,Kolkata,Tier 1,0.000435,Deterministic illustrative investor transaction
TX012774,INV005467,141925,2022-01-09,Lumpsum,65676.290000,0.006568,Karnataka,46-55,46,Bengaluru,Tier 1,0.006568,Deterministic illustrative investor transaction
TX017432,INV006801,120046,2022-01-09,SIP,5840.360000,0.000584,Maharashtra,26-35,29,Mumbai,Tier 1,0.000584,Deterministic illustrative investor transaction
TX009129,INV007589,144546,2022-01-09,SIP,1591.430000,0.000159,Tamil Nadu,26-35,32,Chennai,Tier 1,0.000159,Deterministic illustrative investor transaction
TX006362,INV003728,120166,2022-01-09,Lumpsum,125441.190000,0.012544,Delhi,36-45,43,Other City,Tier 3,0.012544,Deterministic illustrative investor transaction
TX003851,INV003104,118955,2022-01-09,Lumpsum,56203.010000,0.005620,Kerala,56+,57,Kochi,Tier 2,0.005620,Deterministic illustrative investor transaction
TX023549,INV004903,119250,2022-01-09,SIP,3140.290000,0.000314,Maharashtra,26-35,29,Mumbai,Tier 1,0.000314,Deterministic illustrative investor transaction
TX003819,INV000472,120392,2022-01-09,Lumpsum,185863.440000,0.018586,West Bengal,36-45,45,Kolkata,Tier 1,0.018586,Deterministic illustrative investor transaction
TX006967,INV004617,120586,2022-01-09,SIP,4581.680000,0.000458,Telangana,56+,69,Hyderabad,Tier 1,0.000458,Deterministic illustrative investor transaction
TX017763,INV000539,118617,2022-01-09,SIP,8847.830000,0.000885,Rajasthan,26-35,27,Jaipur,Tier 2,0.000885,Deterministic illustrative investor transaction
TX018553,INV008858,119076,2022-01-09,SIP,1611.280000,0.000161,Karnataka,26-35,33,Bengaluru,Tier 1,0.000161,Deterministic illustrative investor transaction
TX011590,INV008900,120564,2022-01-09,SIP,12060.750000,0.001206,Delhi,56+,67,New Delhi,Tier 1,0.001206,Deterministic illustrative investor transaction
TX000306,INV004260,122639,2022-01-09,SIP,1638.990000,0.000164,Karnataka,26-35,35,Bengaluru,Tier 1,0.000164,Deterministic illustrative investor transaction
TX020560,INV004382,118955,2022-01-09,SIP,3808.110000,0.000381,Kerala,18-25,20,Kochi,Tier 2,0.000381,Deterministic illustrative investor transaction
TX012860,INV008102,133839,2022-01-09,Lumpsum,40560.370000,0.004056,Rajasthan,26-35,34,Jaipur,Tier 2,0.004056,Deterministic illustrative investor transaction
TX021320,INV004691,119292,2022-01-09,Redemption,62418.580000,0.006242,Maharashtra,36-45,44,Mumbai,Tier 1,-0.006242,Deterministic illustrative investor transaction
TX010059,INV009293,120492,2022-01-09,Redemption,222837.630000,0.022284,Maharashtra,36-45,40,Mumbai,Tier 1,-0.022284,Deterministic illustrative investor transaction
TX010167,INV003686,118955,2022-01-09,Lumpsum,65986.240000,0.006599,Gujarat,36-45,45,Ahmedabad,Tier 2,0.006599,Deterministic illustrative investor transaction
TX006108,INV002172,120564,2022-01-10,Redemption,63551.060000,0.006355,Karnataka,18-25,25,Bengaluru,Tier 1,-0.006355,Deterministic illustrative investor transaction
TX002984,INV003942,140353,2022-01-10,SIP,13074.340000,0.001307,Uttar Pradesh,36-45,43,Lucknow,Tier 2,0.001307,Deterministic illustrative investor transaction
TX001933,INV001451,120492,2022-01-10,SIP,5075.950000,0.000508,Maharashtra,36-45,37,Mumbai,Tier 1,0.000508,Deterministic illustrative investor transaction
TX005135,INV003291,122639,2022-01-10,Lumpsum,199966.730000,0.019997,Delhi,26-35,32,New Delhi,Tier 1,0.019997,Deterministic illustrative investor transaction
TX023112,INV007416,148404,2022-01-10,Lumpsum,65259.680000,0.006526,Rajasthan,18-25,22,Jaipur,Tier 2,0.006526,Deterministic illustrative investor transaction
TX022368,INV001336,120492,2022-01-10,SIP,4572.000000,0.000457,Karnataka,46-55,55,Bengaluru,Tier 1,0.000457,Deterministic illustrative investor transaction
TX000960,INV008888,122639,2022-01-10,Redemption,42911.140000,0.004291,Kerala,36-45,45,Kochi,Tier 2,-0.004291,Deterministic illustrative investor transaction
TX003319,INV004015,120843,2022-01-10,SIP,5553.590000,0.000555,Maharashtra,26-35,30,Mumbai,Tier 1,0.000555,Deterministic illustrative investor transaction
TX018675,INV006771,120046,2022-01-10,SIP,15807.350000,0.001581,Kerala,36-45,44,Kochi,Tier 2,0.001581,Deterministic illustrative investor transaction
TX006442,INV003839,141925,2022-01-10,SIP,2806.750000,0.000281,Gujarat,26-35,30,Ahmedabad,Tier 2,0.000281,Deterministic illustrative investor transaction
TX004191,INV003492,129046,2022-01-10,Lumpsum,80194.100000,0.008019,Tamil Nadu,56+,58,Chennai,Tier 1,0.008019,Deterministic illustrative investor transaction
TX015949,INV004055,118535,2022-01-10,SIP,5163.460000,0.000516,Tamil Nadu,36-45,41,Chennai,Tier 1,0.000516,Deterministic illustrative investor transaction
TX004706,INV008235,141925,2022-01-11,SIP,15360.230000,0.001536,Uttar Pradesh,36-45,40,Other City,Tier 3,0.001536,Deterministic illustrative investor transaction
TX018421,INV005590,120030,2022-01-11,SIP,4557.350000,0.000456,Uttar Pradesh,36-45,37,Lucknow,Tier 2,0.000456,Deterministic illustrative investor transaction
TX010743,INV006063,122639,2022-01-11,Lumpsum,22901.520000,0.002290,Tamil Nadu,26-35,26,Chennai,Tier 1,0.002290,Deterministic illustrative investor transaction
TX005682,INV001479,120564,2022-01-11,SIP,14293.880000,0.001429,Punjab,56+,60,Ludhiana,Tier 2,0.001429,Deterministic illustrative investor transaction
TX004059,INV001722,118535,2022-01-11,SIP,6800.570000,0.000680,Karnataka,26-35,27,Bengaluru,Tier 1,0.000680,Deterministic illustrative investor transaction
TX020101,INV004088,118632,2022-01-11,Lumpsum,66029.870000,0.006603,Delhi,18-25,19,New Delhi,Tier 1,0.006603,Deterministic illustrative investor transaction
TX008020,INV000349,119528,2022-01-11,SIP,3776.500000,0.000378,Gujarat,26-35,28,Ahmedabad,Tier 2,0.000378,Deterministic illustrative investor transaction
TX015656,INV000055,148404,2022-01-11,SIP,23781.060000,0.002378,West Bengal,26-35,28,Kolkata,Tier 1,0.002378,Deterministic illustrative investor transaction
TX015503,INV001237,120656,2022-01-11,SIP,6708.210000,0.000671,Maharashtra,36-45,37,Mumbai,Tier 1,0.000671,Deterministic illustrative investor transaction
TX009161,INV004634,119250,2022-01-11,SIP,3690.080000,0.000369,Tamil Nadu,26-35,26,Chennai,Tier 1,0.000369,Deterministic illustrative investor transaction
TX013069,INV003661,118955,2022-01-11,Redemption,357082.660000,0.035708,Rajasthan,26-35,26,Jaipur,Tier 2,-0.035708,Deterministic illustrative investor transaction
TX014186,INV004260,120264,2022-01-11,Lumpsum,216968.170000,0.021697,Madhya Pradesh,46-55,48,Indore,Tier 2,0.021697,Deterministic illustrative investor transaction
TX011394,INV008598,118275,2022-01-11,SIP,3786.090000,0.000379,Punjab,18-25,19,Ludhiana,Tier 2,0.000379,Deterministic illustrative investor transaction
TX020171,INV004325,120492,2022-01-11,Lumpsum,140973.200000,0.014097,Uttar Pradesh,26-35,35,Lucknow,Tier 2,0.014097,Deterministic illustrative investor transaction
TX000278,INV003387,148404,2022-01-11,Lumpsum,108391.110000,0.010839,Maharashtra,36-45,38,Mumbai,Tier 1,0.010839,Deterministic illustrative investor transaction
TX008286,INV005897,118275,2022-01-11,Lumpsum,41537.010000,0.004154,Karnataka,26-35,30,Bengaluru,Tier 1,0.004154,Deterministic illustrative investor transaction
TX000728,INV001491,140353,2022-01-11,Redemption,52628.280000,0.005263,Madhya Pradesh,36-45,40,Indore,Tier 2,-0.005263,Deterministic illustrative investor transaction
TX023962,INV001089,120662,2022-01-12,SIP,5544.410000,0.000554,Gujarat,46-55,47,Ahmedabad,Tier 2,0.000554,Deterministic illustrative investor transaction
TX008920,INV000775,118531,2022-01-12,SIP,5306.770000,0.000531,Tamil Nadu,56+,61,Chennai,Tier 1,0.000531,Deterministic illustrative investor transaction
